TRIAL,DECK,WIN,LOSS,NET,TOTAL,RT,EEG_SAMPLE
1,A,100,-150,-50,1950,2596,46080
2,C,50,-25,25,1975,1589,46864
3,B,100,0,100,2075,1594,47835
4,D,50,0,50,2125,1791,48845
5,A,100,-150,-50,2075,1374,49597
6,B,100,0,100,2175,2490,50522
7,C,50,-50,0,2175,831,51399
8,B,100,0,100,2275,1576,52092
9,C,50,-25,25,2300,2599,52999
10,A,100,-350,-250,2050,1757,53707
11,C,50,-50,0,2050,2205,54489
12,B,100,0,100,2150,1447,55416
13,B,100,0,100,2250,1935,56240
14,A,100,-350,-250,2000,1309,57075
15,A,100,-300,-200,1800,2979,57998
16,A,100,-250,-150,1650,1162,59034
17,B,100,0,100,1750,2339,60066
18,B,100,0,100,1850,2936,61141
19,B,100,0,100,1950,1766,61995
20,A,100,-200,-100,1850,2515,62797
21,B,100,0,100,1950,958,63812
22,C,50,-25,25,1975,1787,64614
23,A,100,-350,-250,1725,1251,65747
24,B,100,0,100,1825,1530,66402
25,D,50,0,50,1875,2400,67198
26,A,100,-350,-250,1625,2090,67891
27,B,100,0,100,1725,2709,68927
28,D,50,0,50,1775,2439,69580
29,B,100,0,100,1875,2156,70468
30,D,50,0,50,1925,999,71460
31,C,50,-50,0,1925,2320,72324
32,D,50,0,50,1975,2826,73320
33,A,100,-150,-50,1925,2817,74321
34,C,50,-25,25,1950,2801,74978
35,B,100,0,100,2050,1696,76085
36,C,50,-50,0,2050,2520,77017
37,C,50,-50,0,2050,829,77934
38,B,100,0,100,2150,2462,78773
39,D,50,0,50,2200,2709,79625
40,C,50,-75,-25,2175,2165,80587
41,A,100,-350,-250,1925,2266,81370
42,B,100,0,100,2025,2747,82316
43,A,100,-300,-200,1825,2010,83245
44,D,50,0,50,1875,1259,84392
45,B,100,0,100,1975,846,85252
46,D,50,0,50,2025,959,86060
47,A,100,-300,-200,1825,2977,87076
48,D,50,0,50,1875,1579,88190
49,A,100,-250,-150,1725,1558,89049
50,D,50,0,50,1775,2180,90200
51,C,50,-50,0,1775,2562,91079
52,A,100,-300,-200,1575,1669,91731
53,A,100,-250,-150,1425,1007,92628
54,A,100,-350,-250,1175,1169,93513
55,C,50,-75,-25,1150,1879,94449
56,B,100,0,100,1250,1424,95293
57,B,100,0,100,1350,1344,96173
58,B,100,0,100,1450,2682,96825
59,D,50,0,50,1500,938,97744
60,A,100,-150,-50,1450,2389,98665
61,B,100,0,100,1550,1863,99696
62,B,100,0,100,1650,1794,100801
63,B,100,0,100,1750,2959,101878
64,D,50,0,50,1800,1939,102771
65,A,100,-150,-50,1750,1940,103730
66,B,100,0,100,1850,1506,104640
67,B,100,0,100,1950,1554,105510
68,D,50,0,50,2000,2961,106426
69,B,100,0,100,2100,2015,107482
70,B,100,0,100,2200,1411,108631
