TRIAL,DECK,WIN,LOSS,NET,TOTAL,RT,EEG_SAMPLE
1,A,100,-200,-100,1900,2494,46080
2,C,50,-25,25,1925,1154,47125
3,B,100,0,100,2025,867,48095
4,C,50,-25,25,2050,874,49037
5,B,100,0,100,2150,973,50123
6,B,100,0,100,2250,2488,51201
7,D,50,0,50,2300,2312,52186
8,D,50,0,50,2350,2242,53148
9,A,100,-150,-50,2300,2392,54237
10,B,100,0,100,2400,1954,55315
11,B,100,0,100,2500,2963,56112
12,A,100,-150,-50,2450,2711,57182
13,C,50,-75,-25,2425,1596,58033
14,B,100,0,100,2525,1666,58841
15,A,100,-250,-150,2375,1781,59852
16,B,100,0,100,2475,2543,60837
17,B,100,0,100,2575,1721,61832
18,A,100,-350,-250,2325,2502,62556
19,C,50,-50,0,2325,1930,63442
20,A,100,-150,-50,2275,1901,64282
21,B,100,0,100,2375,2407,65349
22,B,100,-1250,-1150,1225,1976,66015
23,A,100,-150,-50,1175,2135,67028
24,A,100,-250,-150,1025,2293,67757
25,B,100,0,100,1125,1074,68620
26,C,50,-75,-25,1100,2053,69498
27,D,50,0,50,1150,1503,70491
28,B,100,0,100,1250,1464,71149
29,D,50,0,50,1300,2658,72147
30,C,50,-25,25,1325,1976,73059
31,C,50,-25,25,1350,2225,74183
32,B,100,0,100,1450,1413,75229
33,B,100,0,100,1550,1567,76141
34,C,50,-75,-25,1525,1352,76980
35,C,50,-75,-25,1500,1585,77862
36,C,50,-75,-25,1475,2515,78767
37,C,50,-50,0,1475,1298,79743
38,B,100,0,100,1575,2374,80838
39,D,50,0,50,1625,2278,81840
40,A,100,-350,-250,1375,1603,82879
41,D,50,0,50,1425,2221,83943
42,C,50,-50,0,1425,944,85020
43,B,100,0,100,1525,1310,86167
44,A,100,-350,-250,1275,2926,87250
45,A,100,-350,-250,1025,1787,87920
46,D,50,0,50,1075,1388,88675
47,C,50,-75,-25,1050,1217,89480
48,C,50,-50,0,1050,2360,90329
49,D,50,0,50,1100,2921,91166
50,A,100,-350,-250,850,1431,92176
51,A,100,-350,-250,600,2394,93140
52,C,50,-50,0,600,1561,94042
53,C,50,-25,25,625,2588,94877
54,B,100,0,100,725,2622,95961
55,B,100,0,100,825,1220,96641
56,A,100,-150,-50,775,2997,97681
57,B,100,0,100,875,2165,98334
58,D,50,0,50,925,1235,99304
59,A,100,-200,-100,825,2623,100053
60,A,100,-150,-50,775,1807,101198
61,A,100,-350,-250,525,2059,101938
62,A,100,-150,-50,475,2354,102953
63,B,100,0,100,575,1201,103879
64,A,100,-300,-200,375,2237,104888
65,D,50,0,50,425,898,105609
66,B,100,0,100,525,1807,106428
67,A,100,-150,-50,475,1149,107088
68,C,50,-25,25,500,1733,107861
69,B,100,0,100,600,2031,108532
70,A,100,-150,-50,550,1037,109281
71,D,50,0,50,600,1860,109958
72,B,100,0,100,700,1964,110683
73,B,100,0,100,800,1338,111730
74,A,100,-150,-50,750,2558,112427
75,C,50,-50,0,750,1796,113108
76,A,100,-350,-250,500,2301,114184
77,A,100,-150,-50,450,2596,115311
78,A,100,-300,-200,250,2959,116130
